Dag	Måned	År	Temp	Nedbør	Vind
08	des	2019	5.9	9.8	5.1
09	des	2019	3.9	24.2	3.4
10	des	2019	3.6	0	10.1
11	des	2019	6.7	40.6	8.3
12	des	2019	5.1	4.2	8.1
13	des	2019	4.7	7	3
14	des	2019	1.8	0	2
15	des	2019	4.1	0.3	4.1
16	des	2019	3.6	6.6	3.3
17	des	2019	4.7	5.9	4.3
18	des	2019	3.8	3.6	3.1
19	des	2019	6.6	3.6	5
20	des	2019	11.8	6.9	6
21	des	2019	9.1	3.4	5.5
22	des	2019	4.2	0.2	0.8
23	des	2019	4.7	0	1
24	des	2019	4.3	2.8	1.5
25	des	2019	3.2	9	1.2
26	des	2019	1.1	0	1.2
27	des	2019	2.3	0	4.3
28	des	2019	4.9	1.4	7.6
29	des	2019	8.6	27.9	6.5
30	des	2019	7.8	92	4.5
31	des	2019	4.7	13.2	3.6
01	jan	2020	7	4.6	5.7
02	jan	2020	7.6	0.7	9.4
03	jan	2020	4	25.4	6.4
04	jan	2020	2.2	6.1	4
05	jan	2020	5.5	4.3	5.6
06	jan	2020	7.5	67	6.8
07	jan	2020	7.3	15.9	6.6
08	jan	2020	6.2	35.6	4.6
09	jan	2020	3.3	11.2	2
10	jan	2020	1.5	6.4	2.8
11	jan	2020	6.8	7.6	6
12	jan	2020	5.3	37	3.1
13	jan	2020	5.6	9.9	6.2
14	jan	2020	5.3	7.1	6
15	jan	2020	5.8	25.7	5.4
16	jan	2020	7.7	12	5.1
17	jan	2020	7.9	10	5.4
18	jan	2020	5.4	3.3	3.3
19	jan	2020	4.2	8.6	3.9
20	jan	2020	7.3	33.8	5
21	jan	2020	6.1	41.9	3.3
22	jan	2020	3.7	4.8	2.5
23	jan	2020	6.9	5	3.5
24	jan	2020	4.5	27.9	2.4
25	jan	2020	5.8	11.2	4.9
26	jan	2020	6.5	9.9	5
27	jan	2020	5	9.9	3.8
28	jan	2020	4	6.5	3.3
29	jan	2020	3.1	0.1	2.8
30	jan	2020	4.1	10.2	5.1
31	jan	2020	6.2	6.8	5.3
01	feb	2020	5.7	11.9	4
02	feb	2020	1.9	21.3	2.1
03	feb	2020	1	1.6	3.2
04	feb	2020	1.8	7.3	2.9
05	feb	2020	4.9	0.9	3.8
06	feb	2020	6.8	10.9	1.9
07	feb	2020	3.8	1.9	3.9
08	feb	2020	6.6	0	7.2
09	feb	2020	6.1	15.6	9.3
10	feb	2020	4.1	46.9	4.4
11	feb	2020	3.7	16.8	3.3
12	feb	2020	1.8	12	2.2
13	feb	2020	1.7	9.5	3.6
14	feb	2020	3.3	2.6	6
15	feb	2020	6.8	13.6	7
16	feb	2020	6.6	28.2	5.9
17	feb	2020	6.7	11.6	6.6
18	feb	2020	5.1	15.3	2.9
19	feb	2020	4.3	12.1	4.2
20	feb	2020	3.9	1.6	5.7
21	feb	2020	5.8	25.7	4.7
22	feb	2020	4.8	30.6	4.6
23	feb	2020	3.6	18.7	2.6
24	feb	2020	2.4	3.7	2.4
25	feb	2020	2.9	1.5	4.7
26	feb	2020	2	0	4.1
27	feb	2020	0.8	2	6.1
28	feb	2020	3	10.3	2.7
29	feb	2020	3.9	2.8	9.7
01	mar	2020	4.2	2.5	4.9
02	mar	2020	4.6	5	5.1
03	mar	2020	5.2	5.1	3.7
04	mar	2020	4.3	0.2	2.3
05	mar	2020	3.3	1.1	3.3
06	mar	2020	3.6	1	3.4
07	mar	2020	3.6	0.3	6.3
08	mar	2020	7.2	40.9	5.7
09	mar	2020	6.5	28.5	4.5
10	mar	2020	5.8	1.6	5.6
11	mar	2020	5.7	23.8	4.7
12	mar	2020	4.1	8.9	2.5
13	mar	2020	1.8	1.7	6.1
14	mar	2020	2.1	0	6.3
15	mar	2020	6.4	14.2	5.1
16	mar	2020	4.3	7.2	4.5
17	mar	2020	6.4	15.4	4.2
18	mar	2020	4.4	20.8	3.2
19	mar	2020	4.2	11.8	3.6
20	mar	2020	3.7	7.7	2.2
21	mar	2020	2.9	0	2.6
22	mar	2020	4.2	0	5.7
23	mar	2020	6.1	0	10.2
24	mar	2020	7.3	0.1	9.8
25	mar	2020	7.7	0.1	6.9
26	mar	2020	6.3	42.4	3.5
27	mar	2020	6.3	3.1	2.3
28	mar	2020	3.2	2	6
29	mar	2020	1.3	1.2	3.5
30	mar	2020	4.8	9.7	3.9
31	mar	2020	5.2	0.3	2.9
01	apr	2020	5.9	6.6	3.2
02	apr	2020	2.9	24.2	6.3
03	apr	2020	1.3	13.3	3
04	apr	2020	3.3	6	3.6
05	apr	2020	9.4	0.7	6.5
06	apr	2020	11.8	0.1	8
07	apr	2020	8.4	9.6	4.4
08	apr	2020	6.8	0	4.5
09	apr	2020	4.5	19.5	3.9
10	apr	2020	5.6	0.1	1.6
11	apr	2020	6.6	0	4.5
