Dag	Måned	År	Temp	Nedbør	Vind
22	des	2021	3.6	0.6	6.2
23	des	2021	1.1	0	5.8
24	des	2021	02.2	0.2	7.5
25	des	2021	02.9	0	3.6
26	des	2021	02	0	3.6
27	des	2021	02.2	0	3.5
28	des	2021	0.7	0.7	7.9
29	des	2021	2.4	0.4	4.4
30	des	2021	7.7	7.7	9.3
31	des	2021	7	29.2	5.6
01	jan	2022	5.6	9.8	12.5
02	jan	2022	8.1	9.1	10.5
03	jan	2022	4.5	5.5	9.9
04	jan	2022	3	15.9	7.8
05	jan	2022	2	18.3	8.7
06	jan	2022	0.3	0	6.2
07	jan	2022	4.5	0.2	10.5
08	jan	2022	3.1	0.3	6.9
09	jan	2022	2.9	0.9	7.6
10	jan	2022	3.8	0	10.6
11	jan	2022	5.7	6.2	11.3
12	jan	2022	8	12.9	8.7
13	jan	2022	8.4	31.8	8.5
14	jan	2022	4	6.5	12.9
15	jan	2022	3.4	0.1	8.4
16	jan	2022	4.6	12.7	11.8
17	jan	2022	2.7	16.9	13.5
18	jan	2022	5.5	2.8	8.6
19	jan	2022	3.4	17.2	15.6
20	jan	2022	0.1	19.7	14.9
21	jan	2022	3	3.7	5.9
22	jan	2022	6.1	7.1	4.3
23	jan	2022	7.1	11.5	7.7
24	jan	2022	5.9	13.7	7.7
25	jan	2022	5.1	12.6	6.5
26	jan	2022	5.3	24.6	8.4
27	jan	2022	5.2	29.1	12.8
28	jan	2022	3	3	13.4
29	jan	2022	6.4	58.2	14.5
30	jan	2022	2.7	24.5	18.3
31	jan	2022	0.2	0.1	8.7
01	feb	2022	2.4	5.6	9.9
02	feb	2022	1.3	12.6	12.3
03	feb	2022	4.9	6.9	7.3
04	feb	2022	2.8	21.7	9.3
05	feb	2022	2.6	12.1	9.9
06	feb	2022	2	23.4	6.6
07	feb	2022	3	8.9	9
08	feb	2022	4.9	24	8.6
09	feb	2022	4	6.8	11.2
10	feb	2022	2	5.9	8
11	feb	2022	0.5	7	7.9
12	feb	2022	4.9	8.6	9.9
13	feb	2022	6.6	50.7	8.1
14	feb	2022	4.6	15.8	5.5
15	feb	2022	3.5	1.4	6.2
16	feb	2022	3.4	10.5	7.6
17	feb	2022	2.2	8.5	5.5
18	feb	2022	2.5	9.1	6.6
19	feb	2022	0.4	2	4.9
20	feb	2022	1.8	6.3	12.8
21	feb	2022	2.9	13.3	8.9
22	feb	2022	0.9	2.4	11.3
23	feb	2022	4.5	6.3	11.7
24	feb	2022	3.5	19.6	7.9
25	feb	2022	3.4	16.2	9.8
26	feb	2022	4.6	0.1	9.9
27	feb	2022	6.7	0.1	13.5
28	feb	2022	5.7	0	13.4
01	mar	2022	4.8	17.5	8.9
02	mar	2022	5.9	2.6	7
03	mar	2022	4.5	0.6	6.9
04	mar	2022	4.2	0	7.2
05	mar	2022	2.8	0	6
06	mar	2022	4	1.6	4.4
07	mar	2022	4	0	5.8
08	mar	2022	4.3	0	6
09	mar	2022	8.5	0	12.8
10	mar	2022	9.5	0	9.4
11	mar	2022	11	0	9.6
12	mar	2022	10	0	9.8
13	mar	2022	10.6	0	9.6
14	mar	2022	9.5	1	7.5
15	mar	2022	6.7	0	8.8
16	mar	2022	8.1	0.5	8.3
17	mar	2022	6.4	1.2	9.8
18	mar	2022	6.2	17.3	7.3
19	mar	2022	6.4	0	6.2
20	mar	2022	6	0	7.7
21	mar	2022	5.8	0	6.8
22	mar	2022	5.8	0	4.9
23	mar	2022	6.4	0.1	6.1
24	mar	2022	8.7	0.6	5.6
25	mar	2022	7.3	0.8	6.3
26	mar	2022	5.8	17.7	6
27	mar	2022	6.4	1.4	4.7
28	mar	2022	6	3.7	9.8
29	mar	2022	2.9	1.4	8.4
30	mar	2022	2.8	0.1	6.9
31	mar	2022	3	0	6
01	apr	2022	2.9	0	5.3
02	apr	2022	2.2	0	8.1
03	apr	2022	3.4	2	5.2
04	apr	2022	3.7	28.6	11.9
05	apr	2022	2.8	9.9	9.7
06	apr	2022	2.8	0	3.8
07	apr	2022	3.1	0	5.8
08	apr	2022	3.6	0.3	9.4
09	apr	2022	3.9	0.1	13.7
10	apr	2022	4.3	1.7	11.5
11	apr	2022	4.3	0.7	5.6
12	apr	2022	6.1	1.8	4
13	apr	2022	5.8	0	3.2
14	apr	2022	8.8	9.6	3.4
15	apr	2022	8.3	0	5.4
16	apr	2022	6.6	0	6.8
