Tid	Hastighet
2022-09-29 19:23:08	4.82
2022-09-29 19:23:09	4.82
2022-09-29 19:23:10	4.82
2022-09-29 19:23:11	4.25
2022-09-29 19:23:12	3.42
2022-09-29 19:23:13	3.42
2022-09-29 19:23:14	3.42
2022-09-29 19:23:15	4.9
2022-09-29 19:23:16	4.75
2022-09-29 19:23:17	4.75
2022-09-29 19:23:18	0.0
2022-09-29 19:23:19	0.86
2022-09-29 19:23:20	0.61
2022-09-29 19:23:21	0.0
2022-09-29 19:23:22	0.0
2022-09-29 19:23:23	0.0
2022-09-29 19:23:24	0.0
2022-09-29 19:23:25	0.0
2022-09-29 19:23:26	0.0
2022-09-29 19:23:27	0.0
2022-09-29 19:23:28	0.0
2022-09-29 19:23:29	17.78
2022-09-29 19:23:30	17.78
2022-09-29 19:23:31	19.15
2022-09-29 19:23:32	18.29
2022-09-29 19:23:33	19.51
2022-09-29 19:23:34	19.51
2022-09-29 19:23:35	20.52
2022-09-29 19:23:36	24.37
2022-09-29 19:23:37	25.34
2022-09-29 19:23:38	25.34
2022-09-29 19:23:39	30.78
2022-09-29 19:23:40	37.8
2022-09-29 19:23:41	40.14
2022-09-29 19:23:42	43.88
2022-09-29 19:23:43	43.88
2022-09-29 19:23:44	44.42
2022-09-29 19:23:45	49.18
2022-09-29 19:23:46	39.82
2022-09-29 19:23:47	17.53
2022-09-29 19:23:48	17.42
2022-09-29 19:23:49	15.62
2022-09-29 19:23:50	9.11
2022-09-29 19:23:51	7.02
2022-09-29 19:23:52	2.05
2022-09-29 19:23:53	4.46
2022-09-29 19:23:54	5.0
2022-09-29 19:23:55	5.22
2022-09-29 19:23:56	5.0
2022-09-29 19:23:57	4.03
2022-09-29 19:23:58	4.28
2022-09-29 19:23:59	4.43
2022-09-29 19:24:00	4.43
2022-09-29 19:24:01	4.72
2022-09-29 19:24:02	4.1
2022-09-29 19:24:03	4.64
2022-09-29 19:24:04	4.64
2022-09-29 19:24:05	4.64
2022-09-29 19:24:06	3.82
2022-09-29 19:24:07	3.82
2022-09-29 19:24:08	3.06
2022-09-29 19:24:09	0.0
2022-09-29 19:24:10	0.0
2022-09-29 19:24:11	0.0
2022-09-29 19:24:12	0.0
2022-09-29 19:24:13	0.0
2022-09-29 19:24:14	0.0
2022-09-29 19:24:15	0.0
2022-09-29 19:24:16	0.0
2022-09-29 19:24:17	0.0
2022-09-29 19:24:18	0.0
2022-09-29 19:24:19	1.98
2022-09-29 19:24:20	1.98
2022-09-29 19:24:21	3.92
2022-09-29 19:24:22	4.82
2022-09-29 19:24:23	4.82
2022-09-29 19:24:24	4.1
2022-09-29 19:24:25	4.1
2022-09-29 19:24:26	5.08
2022-09-29 19:24:27	6.16
2022-09-29 19:24:28	5.08
2022-09-29 19:24:29	4.14
2022-09-29 19:24:30	2.77
2022-09-29 19:24:31	2.77
2022-09-29 19:24:32	2.74
2022-09-29 19:24:33	0.0
2022-09-29 19:24:34	0.0
2022-09-29 19:24:35	0.0
2022-09-29 19:24:36	0.0
2022-09-29 19:24:37	0.0
2022-09-29 19:24:38	0.0
2022-09-29 19:24:39	0.0
2022-09-29 19:24:40	0.0
2022-09-29 19:24:41	0.0
2022-09-29 19:24:42	0.0
2022-09-29 19:24:43	0.0
2022-09-29 19:24:44	0.0
2022-09-29 19:24:45	0.0
2022-09-29 19:24:46	0.0
2022-09-29 19:24:47	0.0
2022-09-29 19:24:48	0.0
2022-09-29 19:24:49	0.0
2022-09-29 19:24:50	0.0
2022-09-29 19:24:51	0.0
2022-09-29 19:24:52	0.0
2022-09-29 19:24:53	0.0
2022-09-29 19:24:54	0.0
2022-09-29 19:24:55	0.0
2022-09-29 19:24:56	0.0
2022-09-29 19:24:57	0.0
2022-09-29 19:24:58	0.0
2022-09-29 19:24:59	0.0
2022-09-29 19:25:00	0.0
2022-09-29 19:25:01	0.0
2022-09-29 19:25:02	0.0
2022-09-29 19:25:03	3.1
2022-09-29 19:25:04	3.38
2022-09-29 19:25:05	3.17
2022-09-29 19:25:06	3.38
2022-09-29 19:25:07	2.84
2022-09-29 19:25:08	2.88
2022-09-29 19:25:09	2.88
2022-09-29 19:25:10	0.0
2022-09-29 19:25:11	0.0
2022-09-29 19:25:12	0.0
2022-09-29 19:25:13	0.0
2022-09-29 19:25:14	0.0
2022-09-29 19:25:15	0.0
2022-09-29 19:25:16	0.0
2022-09-29 19:25:17	0.0
2022-09-29 19:25:18	0.0
2022-09-29 19:25:19	0.0
2022-09-29 19:25:20	0.0
2022-09-29 19:25:21	0.0
2022-09-29 19:25:22	0.0
2022-09-29 19:25:23	0.0
2022-09-29 19:25:24	0.0
2022-09-29 19:25:25	0.0
